x,y,z
33.618,13.992001,195.92201
33.502003,14.272,194.89001
33.624,14.272,195.688
33.562,14.852,199.58601
33.620003,14.642001,199.24802
33.690002,14.862,199.074
24.252,60.056004,2.684
25.164001,60.438004,3.154
25.202002,60.440002,2.808
26.556002,60.920002,3.5180001
26.346,60.814003,3.7040002
26.692001,60.824,3.7200003
61.948,28.484001,44.062
62.072002,28.542002,44.408
61.852,28.400002,44.846
60.896004,27.712002,50.890003
60.886,27.738,50.308002
61.050003,27.874,50.374
9.496,19.644001,110.060005
9.858001,19.704,110.342
9.078,19.998001,110.132
7.602,21.478,110.36001
7.4280005,21.324001,110.15
7.8580003,20.932001,110.13801
38.550003,17.042002,54.750004
38.466003,17.306002,54.712
38.374,17.166,54.654003
38.06,17.716002,54.960003
38.212,17.516,54.81
38.258003,17.734001,54.832
14.26,20.908,150.856
14.5720005,20.454,151.11201
14.120001,20.472,150.79001
12.7560005,22.6,149.48601
13.058001,22.752,149.66801
13.154,22.438002,149.81201
28.274002,61.382004,4.202
28.008001,61.282,3.9420002
27.746002,61.154003,4.184
26.704,60.814003,4.7000003
26.230001,60.792004,4.67
26.688002,60.958004,5.1660004
67.538,32.260002,33.834003
67.536,32.262,33.472
67.692,32.462,33.308002
68.200005,33.486,29.300001
68.128006,33.388,29.686
68.188,33.34,29.328001
47.852,5.4880004,64.296005
47.566,5.9,63.714005
47.872,5.7960005,63.754
46.510002,7.7200003,61.194004
46.912003,7.556,61.314003
47.072002,7.2180004,61.778004
37.198,49.164,69.04
36.826,49.208004,68.514
36.996002,49.134003,69.092
39.004,48.656002,72.568
38.31,48.706,72.130005
39.286003,48.554,73.32
8.298,36.524002,83.880005
8.596001,37.236,84.218
8.466001,37.09,83.774
9.502001,39.368,83.456
9.304001,38.976,83.628006
9.59,39.452003,83.702
28.122002,61.584003,5.9760003
28.570002,61.752003,6.078
27.546001,61.08,4.658
27.424002,61.068005,5.0660005
28.114002,61.314003,5.018
49.784004,2.2700002,81.924
50.016003,2.1620002,81.444
50.442,2.48,81.658005
48.376003,1.8820001,82.134
48.712,2.176,82.574005
48.274002,2.1360002,82.630005
20.206001,31.788002,197.23601
20.138,32.122,196.92001
20.144001,31.528002,197.31601
20.026001,30.538002,197.75401
19.93,30.502,197.62001
19.866001,30.006,197.78001
23.782001,6.34,210.93001
23.672,6.3580003,210.99602
23.332,6.2300005,210.94801
24.772001,8.004001,211.99802
24.768002,8.96,212.35
24.528002,8.364,212.19002
55.154003,21.54,77.062004
55.056004,21.238,77.536
55.120003,21.284,77.11201
55.444004,19.886002,77.428
55.452003,19.900002,76.882
55.248,20.206001,77.992004
53.154003,25.210001,111.372
53.204002,25.038002,111.23401
53.402004,25.500002,111.32201
52.24,22.582,111.70601
51.906002,22.560001,111.44
52.340004,23.086,111.77801
63.042004,37.742,37.714
62.960003,37.762,38.15
63.064003,37.678,37.804
63.652004,38.458,33.63
63.868004,38.570004,32.556
